ID,Street name,City,Lat/Lon,Furniture,Buses
71,Ronda de Dalt-Bellesguard,BARCELONA,41.4105200 / 2.1265470,Pal,60 123 196 
73,Josep Garí-Collserola,BARCELONA,41.4157668 / 2.1356200,Pal,60 73 
74,Benedetti-Ronda de Dalt,BARCELONA,41.4088858 / 2.1242902,Pal,60 
76,Av Borbó-Pl Virrei Amat,BARCELONA,41.4292117 / 2.1743073,Pal,34 
82,Platja d'Aro-Palamós,BARCELONA,41.4488750 / 2.1864760,Pal,50 51 76 
83,Via Favència-Aiguablava,BARCELONA,41.4465022 / 2.1805930,Pal,60 
93,Ronda Universitat-Pl de Catalunya,BARCELONA,41.3872567 / 2.1678480,Marquesina,42 N17 
94,Av Diagonal-Balmes,BARCELONA,41.3951796 / 2.1543527,Pal,06 15 33 34 
95,Gran Via-Balmes,BARCELONA,41.3878959 / 2.1658374,Pal,50 54 56 58 
96,Ronda General Mitre-Muntaner,BARCELONA,41.4031165 / 2.1385250,Pal,16 74 N0 
97,Pg de Sant Gervasi-Folgueroles,BARCELONA,41.4094213 / 2.1352441,Pal,22 58 75 123 
98,València-Balmes,BARCELONA,41.3901794 / 2.1600768,Marquesina,20 43 44 63 N7 
100,París-Enric Granados,BARCELONA,41.3939154 / 2.1536823,Pal,67 68 
102,Pl de Pedralbes,BARCELONA,41.3958124 / 2.1144510,Pal,64 N7 
103,Bisbe Català-Bosch i Gimpera,BARCELONA,41.3960999 / 2.1145426,Pal,22 68 75 
